id,name,uom
CLEPCNS_US,"electric power sector  consumption of coal, united states",kst
CLEPCON_TON,electric power sector coal consumption,mmst
CLEPGEN_CA,"electric power sector net generation from coal, california",bkwh
CLEPGEN_FL,"electric power sector net generation from coal, florida (frcc)",bkwh
CLEPGEN_HA,"electric power sector net generation from coal, hawaii and alaska",bkwh
CLEPGEN_MW,"electric power sector net generation from coal, midwest (midcontinent iso)",bkwh
CLEPGEN_NE,"electric power sector net generation from coal, new england (iso-ne)",bkwh
CLEPGEN_NW,"electric power sector net generation from coal, northwest",bkwh
CLEPGEN_NY,"electric power sector net generation from coal, new york (nyiso)",bkwh
CLEPGEN_PJ,"electric power sector net generation from coal, mid-atlantic (pjm)",bkwh
CLEPGEN_SE,"electric power sector net generation from coal, southeast (serc)",bkwh
CLEPGEN_SP,"electric power sector net generation from coal, central (spp iso)",bkwh
CLEPGEN_SW,"electric power sector net generation from coal, southwest",bkwh
CLEPGEN_TX,"electric power sector net generation from coal, texas (ercot)",bkwh
CLEPGEN_US,"electric power sector net generation from coal, united states",bkwh
CLEPSHR_US,coal share of u.s. electricity generation,pct
CLEPTOT,electric power sector generation from coal,bkwhd
CLEUDUS,cost of coal delivered to electric generating plants,usd/mmbtu
CLEXPMC_TON,metallurgical coal gross exports,mmst
CLEXPSC_TON,steam coal gross exports,mmst
CLEXPUS_TON,coal gross exports,mmst
CLHCPUS_TON,residential and commercial coal consumption,mmst
CLIMPUS_TON,coal gross imports,mmst
CLINCNS_US,"industrial sector consumption of coal, united states",kst
CLINGEN_US,"industrial sector net generation from coal, united states",bkwh
CLKCPUS_TON,coke plants coal consumption,mmst
CLMRHUS,coal miner productivity,tph
CLNIPUS_TON,coal net imports,mmst
CLNSPUS_TON,total primary coal supply,mmst
CLOTCON_TON,coal consumed in non-power sectors,mmst
CLPRPAR_TON,coal production appalachia region,mmst
CLPRPIR_TON,coal production interior region,mmst
CLPRPUS_TON,coal production total u.s.,mmst
CLPRPWR_TON,coal production western region,mmst
CLPS_EP,coal secondary inventories electric power sector,mmst eop
CLPS_TOT,coal total inventories,mmst eop
CLSDPUS,coal primary inventories,mmst eop
CLSD_DRAW_TON,coal primary inventory withdrawals,mmst
CLSHPUS,coal secondary inventories commercial and institutional,mmst eop
CLSKPUS,coal secondary inventories coke plants,mmst eop
CLSOPUS,coal secondary inventories retail and general industry,mmst eop
CLSTPUS,coal secondary inventories,mmst eop
CLST_DRAW_TON,coal secondary inventory withdrawals,mmst
CLTCPUS_TON,total coal consumption ,mmst
CLTOGEN_US,"net generation from coal, all sectors, united states",bkwh
CLTOPUS,generation from coal by all sectors,bkwhd
CLTSPUS_TON,total coal supply,mmst
CLWCPUS_TON,waste coal production,mmst
CLYCPUS_TON,other industrial coal consumption,mmst
CLZCPUS_TON,retail and other industry coal consumption,mmst
CMEOPUS,commercial sector total generation,bkwhd
CMEOTWH,"total net generation of electricity from large-scale power plants, commercial and sector, united states",bkwh
CODIPUS,refinery distillation inputs  ,mbd
COEOPAP,"appalachia existing oil production change, one-year trend",kbd
COEOPBK,"bakken existing oil production change, one-year trend",kbd
COEOPEF,"eagle ford existing oil production change, one-year trend",kbd
COEOPHA,"haynesville existing oil production change, one-year trend",kbd
COEOPPM,"permian existing oil production change, one-year trend",kbd
COEOPR48,"rest of lower 48 states, excluding gom existing oil production change, one-year trend",kbd
CONIPUS,crude oil net imports,mbd
CONSRUS,real personal consumption expenditures,b2017usd (saar)
CONWAP,"appalachia new-wells oil production, one-year trend",kbd
CONWBK,"bakken new-wells oil production, one-year trend",kbd
CONWEF,"eagle ford new-wells oil production, one-year trend",kbd
CONWHA,"haynesville new-wells oil production, one-year trend",kbd
CONWPM,"permian new-wells oil production, one-year trend",kbd
CONWR48,"rest of lower 48 states, excluding gom new-wells oil production, one-year trend",kbd
CONWRAP,"appalachia new-wells oil production per rig, one-year trend",kbd
CONWRBK,"bakken new-wells oil production per rig, one-year trend",kbd
CONWREF,"eagle ford new-wells oil production per rig, one-year trend",kbd
CONWRHA,"haynesville new-wells oil production per rig, one-year trend",kbd
CONWRPM,"permian new-wells oil production per rig, one-year trend",kbd
CONWRR48,"rest of lower 48 states, excluding gom new-wells oil production per rig, one-year trend",kbd
COPC_AG,algeria crude oil production capacity,mbd
COPC_CF,congo (brazzaville) crude oil production capacity,mbd
COPC_EK,equatorial guinea crude oil production capacity,mbd
COPC_GB,gabon crude oil production capacity,mbd
COPC_IR,iran crude oil production capacity,mbd
COPC_IZ,iraq crude oil production capacity,mbd
COPC_KU,kuwait crude oil production capacity,mbd
COPC_LY,libya crude oil production capacity,mbd
COPC_NI,nigeria crude oil production capacity,mbd
COPC_OPEC,opec total crude oil production capacity,mbd
COPC_OPEC_R05,opec middle east crude oil production capacity,mbd
COPC_OPEC_ROT,opec other crude oil production capacity,mbd
COPC_SA,saudi arabia crude oil production capacity,mbd
COPC_TC,united arab emirates crude oil production capacity,mbd
COPC_VE,venezuela crude oil production capacity,mbd
COPRAP,crude oil production: appalachia,mbd
COPRBK,crude oil production: bakken,mbd
COPREF,crude oil production: eagle ford,mbd
COPRHA,crude oil production: haynesville,mbd
COPRPM,crude oil production: permian,mbd
COPRPUS,u.s. crude oil production,mbd
COPRR48,crude oil production: rest of lower 48 states,mbd
COPR_AG,"crude oil production, algeria",mbd
COPR_AJ,"crude oil production, azerbaijan",mbd
COPR_BA,"crude oil production, bahrain",mbd
COPR_BX,"crude oil production, brunei",mbd
COPR_CF,"crude oil production, congo (brazzaville)",mbd
COPR_EK,"crude oil production, equatorial guinea",mbd
COPR_GB,"crude oil production, gabon",mbd
COPR_IR,"crude oil production, iran",mbd
COPR_IZ,"crude oil production, iraq",mbd
COPR_KU,"crude oil production, kuwait",mbd
COPR_KZ,"crude oil production, kazakhstan",mbd
COPR_LY,"crude oil production, libya",mbd
COPR_MU,"crude oil production, oman",mbd
COPR_MX,"crude oil production, mexico",mbd
COPR_MY,"crude oil production, malaysia",mbd
COPR_NI,"crude oil production, nigeria",mbd
COPR_NONOPEC,non-opec crude oil production,mbd
COPR_NONOPECPLUS_XUS,non-opec+ exluding united states crude oil production,mbd
COPR_OD,"crude oil production, south sudan",mbd
COPR_OPEC,"crude oil production, opec total",mbd
COPR_OPECPLUS,opec+ total,mbd
COPR_OPECPLUS_OPEC,opec members subject to opec+ agreements,mbd
COPR_OPECPLUS_OTHER,opec+ other participants total,mbd
COPR_RS,"crude oil production, russia",mbd
COPR_SA,"crude oil production, saudi arabia",mbd
COPR_SU,"crude oil production, sudan",mbd
COPR_TC,"crude oil production, united arab emirates",mbd
COPR_VE,"crude oil production, venezuela",mbd
COPR_WORLD,total world crude oil production,mbd
COPS_AG,algeria spare crude oil production capacity,mbd
COPS_CF,congo (brazzaville) spare crude oil production capacity,mbd
COPS_EK,equatorial guinea spare crude oil production capacity,mbd
COPS_GB,gabon spare crude oil production capacity,mbd
COPS_IR,iran spare crude oil production capacity,mbd
COPS_IZ,iraq spare crude oil production capacity,mbd
COPS_KU,kuwait spare crude oil production capacity,mbd
COPS_LY,libya spare crude oil production capacity,mbd
COPS_NI,nigeria spare crude oil production capacity,mbd
COPS_OPEC,opec total spare crude oil production capacity,mbd
COPS_OPEC_R05,opec middle east surplus crude oil production capacity,mbd
COPS_OPEC_ROT,opec other spare crude oil production capacity,mbd
COPS_SA,saudi arabia spare crude oil production capacity,mbd
COPS_TC,united arab emirates spare crude oil production capacity,mbd
COPS_VE,venezuela spare crude oil production capacity,mbd
CORIPUS,crude oil refinery input,mbd
COSQPUS,strategic petroleum reserve,mb eop
COSQ_DRAW,crude oil net spr withdrawals,mbd
COSXPUS,crude oil inventory (excluding spr),mb eop
COSX_DRAW,crude oil net commercial inventory withdrawals,mbd
COTRPUS,transfers to crude oil supply ,mbd
COUNPUS,crude oil adjustment,mbd
CXTCCO2,carbon dioxide emissions from coal,mmt
CYRPIC_ENC,real personal income e. n. central,b2017usd (saar)
CYRPIC_ESC,real personal income e. s. central,b2017usd (saar)
CYRPIC_MAC,real personal income middle atlantic,b2017usd (saar)
CYRPIC_MTN,real personal income mountain,b2017usd (saar)
CYRPIC_NEC,real personal income new england,b2017usd (saar)
CYRPIC_PAC,real personal income pacific,b2017usd (saar)
CYRPIC_SAC,real personal income s. atlantic,b2017usd (saar)
CYRPIC_WNC,real personal income w. n. central,b2017usd (saar)
CYRPIC_WSC,real personal income w. s. central,b2017usd (saar)
D2RCAUS,"heating oil retail price including taxes, u.s. average",c/gal
D2RCAUS_$,"heating oil retail price incl taxes, u.s. average",usd/gal
D2RCAUS_RP_$,"heating oil retail price incl taxes, u.s. average",real usd/gal
D2WHUUS,heating oil refiner wholesale price,c/gal
D2WHUUS_$,heating oil refiner wholesale price,usd/gal
DAPSPUS,total distillate fuel oil inventories,mb
DAPSPUS_DRAW,total distillate fuel stock draw,mbd
DASUPPLY,total distillate fuel oil supply,mbd
DATCPUS,total distillate fuel oil consumption,mbd
DFEPDEL,distillate fuel oil delivers to power sector,mbd
DFFPPUS,distillate fuel oil adjustment,mbd
DFNIPUS,distillate fuel oil net imports,mbd
DFPSPP1,distillate fuel oil padd 1 (east coast) inventory,mb eop
DFPSPP2,distillate fuel oil padd 2 (midwest) inventory,mb eop
DFPSPP3,distillate fuel oil padd 3 (gulf coast) inventory,mb eop
DFPSPP4,distillate fuel oil padd 4 (rocky mountain) inventory,mb eop
DFPSPP5,distillate fuel oil padd 5 (west coast) inventory,mb eop
DFPSPUS,distillate fuel oil u.s. total inventory,mb eop
DFROPUS,distillate fuel refinery output,mbd
DFTCPUS,distillate fuel oil product supplied,mbd
DFTCPUS_P,petroleum-based diesel consumption,mbd
DKCEPUS,commercial sector generation from distillate fuel oil,bkwhd
DKCOPUS,industrial sector generation from distillate fuel oil,bkwhd
DKEPTOT,electric power sector generation from distillate fuel oil,bkwhd
DKEUDUS,cost of distillate fuel oil delivered to electric generating plants,usd/mmbtu
DKPS_EP,"distillate fuel oil stocks, electric power sector",mb eop
DSRTUUS,"diesel fuel retail price including taxes, u.s. average",c/gal
DSRTUUS_$,"diesel fuel retail price incl taxes, u.s. average",usd/gal
DSRTUUS_RP_$,"diesel fuel retail real prrice incl taxes, u.s. average",real usd/gal
DSWHUUS,diesel fuel refiner wholesale price,c/gal
DSWHUUS_$,diesel fuel refiner wholesale price,usd/gal
DUCSAP,appalachia drilled but uncompleted wells ,count
DUCSBK,bakken drilled but uncompleted wells ,count
DUCSEF,eagle ford drilled but uncompleted wells ,count
DUCSHA,haynesville drilled but uncompleted wells ,count
DUCSPM,permian drilled but uncompleted wells ,count
DUCSR48,"rest of lower 48 states, excluding gom drilled but uncompleted wells ",count
EE_ENC,total non-farm employment e. n. central,m
EE_ESC,total non-farm employment e. s. central,m
EE_MAC,total non-farm employment middle atlantic,m
EE_MTN,total non-farm employment mountain,m
EE_NEC,total non-farm employment new england,m
EE_PAC,total non-farm employment pacific,m
EE_SAC,total non-farm employment s. atlantic,m
EE_WNC,total non-farm employment w. n. central,m
EE_WSC,total non-farm employment w. s. central,m
ELACP_ENC,"retail sales of electricity in transportation sector, east north central",bkwh
ELACP_ESC,"retail sales of electricity in transportation sector, east south central",bkwh
ELACP_HAK,"retail sales of electricity in transportation sector, alaska and hawaii",bkwh
ELACP_MAC,"retail sales of electricity in transportation sector, middle atlantic",bkwh
ELACP_MTN,"retail sales of electricity in transportation sector, mountain",bkwh
ELACP_NEC,"retail sales of electricity in transportation sector, new england",bkwh
ELACP_PAC,"retail sales of electricity in transportation sector, pacific contiguous",bkwh
ELACP_SAC,"retail sales of electricity in transportation sector, south atlantic",bkwh
ELACP_US,"retail sales of electricity in transportation sector, u.s. total",bkwh
ELACP_WNC,"retail sales of electricity in transportation sector, west north central",bkwh
ELACP_WSC,"retail sales of electricity in transportation sector, west south central",bkwh
ELACTWH,"retail sales of electricity in transportation sector, u.s. total",bkwh
ELCCP_ENC,"retail sales of electricity in commercial sector, east north central",bkwh
ELCCP_ESC,"retail sales of electricity in commercial sector, east south central",bkwh
ELCCP_HAK,"retail sales of electricity in commercial sector, alaska and hawaii",bkwh
ELCCP_MAC,"retail sales of electricity in commercial sector, middle atlantic",bkwh
ELCCP_MTN,"retail sales of electricity in commercial sector, mountain",bkwh
ELCCP_NEC,"retail sales of electricity in commercial sector, new england",bkwh
ELCCP_PAC,"retail sales of electricity in commercial sector, pacific contiguous",bkwh
ELCCP_SAC,"retail sales of electricity in commercial sector, south atlantic",bkwh
ELCCP_US,"retail sales of electricity in commercial sector, u.s. total",bkwh
ELCCP_WNC,"retail sales of electricity in commercial sector, west north central",bkwh
ELCCP_WSC,"retail sales of electricity in commercial sector, west south central",bkwh
ELCCTWH,"retail sales of electricity in commercial sector, u.s. total",bkwh
ELCOTWH,total consumption of electricity in united states,bkwh
ELCUS_ENC,"number of residential customers, east north central",k customers
ELCUS_ESC,"number of residential customers, east south central",k customers
ELCUS_HAK,"number of residential customers, hawaii and alaska",k customers
ELCUS_MAC,"number of residential customers, middle atlantic",k customers
ELCUS_MTN,"number of residential customers, mountain",k customers
ELCUS_NEC,"number of residential customers, new england",k customers
ELCUS_PAC,"number of residential customers, pacific contiguous",k customers
ELCUS_SAC,"number of residential customers, south atlantic",k customers
ELCUS_US,"number of residential customers, united states",k customers
ELCUS_WNC,"number of residential customers, west north central",k customers
ELCUS_WSC,"number of residential customers, west south central",k customers
ELDUPUS,direct use of electricity by commercial and industrial facilities,bkwhd
ELDUTWH,total direct use of electricity in united states,bkwh
ELEXPUS,gross exports of electricity from the united states,bkwhd
ELICP_ENC,"retail sales of electricity in industrial sector, east north central",bkwh
ELICP_ESC,"retail sales of electricity in industrial sector, east south central",bkwh
ELICP_HAK,"retail sales of electricity in industrial sector, alaska and hawaii",bkwh
ELICP_MAC,"retail sales of electricity in industrial sector, middle atlantic",bkwh
ELICP_MTN,"retail sales of electricity in industrial sector, mountain",bkwh
ELICP_NEC,"retail sales of electricity in industrial sector, new england",bkwh
ELICP_PAC,"retail sales of electricity in industrial sector, pacific contiguous",bkwh
ELICP_SAC,"retail sales of electricity in industrial sector, south atlantic",bkwh
ELICP_US,"retail sales of electricity in industrial sector, u.s. total",bkwh
ELICP_WNC,"retail sales of electricity in industrial sector, west north central",bkwh
ELICP_WSC,"retail sales of electricity in industrial sector, west south central",bkwh
ELICTWH,"retail sales of electricity in industrial sector, u.s. total",bkwh
ELIMPUS,gross imports of electricity into the united states,bkwhd
ELLOAD_CA,"net energy for electricity load, california",bkwh
ELLOAD_FL,"net energy for electricity load, florida (frcc)",bkwh
ELLOAD_HA,"net energy for electricity load, hawaii and alaska",bkwh
ELLOAD_MW,"net energy for electricity load, midwest (midcontinent iso)",bkwh
ELLOAD_NE,"net energy for electricity load, new england (iso-ne)",bkwh
ELLOAD_NW,"net energy for electricity load, northwest",bkwh
ELLOAD_NY,"net energy for electricity load, new york (nyiso)",bkwh
ELLOAD_PJ,"net energy for electricity load, mid-atlantic (pjm)",bkwh
ELLOAD_SE,"net energy for electricity load, southeast (serc)",bkwh
ELLOAD_SP,"net energy for electricity load, central (spp iso)",bkwh
ELLOAD_SW,"net energy for electricity load, southwest",bkwh
ELLOAD_TX,"net energy for electricity load, texas (ercot)",bkwh
ELLOAD_US,"net energy for electricity load, united states",bkwh
ELNIPUS,net imports of electricity to the united states,bkwhd
ELNITWH,net international imports of electricity into united states,bkwh
ELRCP_ENC,"retail sales of electricity in residential sector, east north central",bkwh
ELRCP_ESC,"retail sales of electricity in residential sector, east south central",bkwh
ELRCP_HAK,"retail sales of electricity in residential sector, alaska and hawaii",bkwh
ELRCP_MAC,"retail sales of electricity in residential sector, middle atlantic",bkwh
ELRCP_MTN,"retail sales of electricity in residential sector, mountain",bkwh
ELRCP_NEC,"retail sales of electricity in residential sector, new england",bkwh
ELRCP_PAC,"retail sales of electricity in residential sector, pacific contiguous",bkwh
ELRCP_SAC,"retail sales of electricity in residential sector, south atlantic",bkwh
ELRCP_US,"retail sales of electricity in residential sector, u.s. total",bkwh
ELRCP_WNC,"retail sales of electricity in residential sector, west north central",bkwh
ELRCP_WSC,"retail sales of electricity in residential sector, west south central",bkwh
ELRCTWH,"retail sales of electricity in residential sector, u.s. total",bkwh
ELSUTWH,total supply of electricity in united states,bkwh
ELTCP_ENC,"total retail sales of electricity in all sectors, east north central",bkwh
ELTCP_ESC,"total retail sales of electricity in all sectors, east south central",bkwh
ELTCP_HAK,"total retail sales of electricity in all sectors, alaska and hawaii",bkwh
ELTCP_MAC,"total retail sales of electricity in all sectors, middle atlantic",bkwh
ELTCP_MTN,"total retail sales of electricity in all sectors, mountain",bkwh
ELTCP_NEC,"total retail sales of electricity in all sectors, new england",bkwh
ELTCP_PAC,"total retail sales of electricity in all sectors, pacific contiguous",bkwh
ELTCP_SAC,"total retail sales of electricity in all sectors, south atlantic",bkwh
ELTCP_US,"total retail sales of electricity in all sectors, u.s. total",bkwh
ELTCP_WNC,"total retail sales of electricity in all sectors, west north central",bkwh
ELTCP_WSC,"total retail sales of electricity in all sectors, west south central",bkwh
ELTCTWH,"total retail sales of electricity in all sectors, u.s. total",bkwh
ELWHU_CA,"wholesale electricity price, caiso (california iso) sp15 zone",usd/mwh
ELWHU_FL,"wholesale electricity price, florida index, florida reliability (frcc) hub",usd/mwh
ELWHU_MW,"wholesale electricity price, miso (midcontinent iso) illinois hub",usd/mwh
ELWHU_NE,"wholesale electricity price, iso-ne (new england iso) internal hub",usd/mwh
ELWHU_NW,"wholesale electricity price, northwest index, mid-columbia hub",usd/mwh
ELWHU_NY,"wholesale electricity price, nyiso (new york iso) hudson valley zone",usd/mwh
ELWHU_PJ,"wholesale electricity price, pjm rto western hub",usd/mwh
ELWHU_SE,"wholesale electricity price, southeast index, southeast reliability (serc) into southern hub",usd/mwh
ELWHU_SP,"wholesale electricity price, spp (southwest power pool iso) south hub",usd/mwh
ELWHU_SW,"wholesale electricity price, southwest index, palo verde hub",usd/mwh
ELWHU_TX,"wholesale electricity price, ercot (texas) iso north hub",usd/mwh
EMCMPUS,commercial employment,m
EMCMPUS_PCT,commercial employment,pct yoy
EMNFPUS,non-farm employment,m
EOACBUS,transportation sector consumption of energy from ethanol,qbtu
EOFPPUS,fuel ethanol adjustments,mbd
EONIPUS,fuel ethanol net imports,mbd
EOPRBUS,ethanol energy supply,qbtu
EOPRPUS,fuel ethanol production,mbd
EOPSPUS,fuel ethanol inventory,mb eop
EORIPUS,fuel ethanol refinery and blender net inputs,mbd
EOTCBUS,consumption of energy from ethanol by all sectors,qbtu
EOTCPUS,fuel ethanol consumption,mbd
EOTCSHR,ethanol share of finished gasoline consumption,frac
EPEOPUS,electric power sector total generation,bkwhd
EPEOTWH,"total net generation of electricity from large-scale power plants, electric power sector, united states",bkwh
ESCMUUS,"retail price of electricity in commercial sector, u.s. average",c/kwh
ESCMU_ENC,"retail price of electricity in commercial sector, east north central",c/kwh
ESCMU_ESC,"retail price of electricity in commercial sector, east south central",c/kwh
ESCMU_HAK,"retail price of electricity in commercial sector, alaska and hawaii",c/kwh
ESCMU_MAC,"retail price of electricity in commercial sector, middle atlantic",c/kwh
ESCMU_MTN,"retail price of electricity in commercial sector, mountain",c/kwh
ESCMU_NEC,"retail price of electricity in commercial sector, new england",c/kwh
ESCMU_PAC,"retail price of electricity in commercial sector, pacific contiguous",c/kwh
ESCMU_SAC,"retail price of electricity in commercial sector, south atlantic",c/kwh
ESCMU_US,"retail price of electricity in commercial sector, u.s. average",c/kwh
ESCMU_WNC,"retail price of electricity in commercial sector, west north central",c/kwh
ESCMU_WSC,"retail price of electricity in commercial sector, west south central",c/kwh
ESICUUS,"retail price of electricity in industrial sector, u.s. average",c/kwh
ESICU_ENC,"retail price of electricity in industrial sector, east north central",c/kwh
ESICU_ESC,"retail price of electricity in industrial sector, east south central",c/kwh
ESICU_HAK,"retail price of electricity in industrial sector, alaska and hawaii",c/kwh
ESICU_MAC,"retail price of electricity in industrial sector, middle atlantic",c/kwh
ESICU_MTN,"retail price of electricity in industrial sector, mountain",c/kwh
ESICU_NEC,"retail price of electricity in industrial sector, new england",c/kwh
ESICU_PAC,"retail price of electricity in industrial sector, pacific contiguous",c/kwh
ESICU_SAC,"retail price of electricity in industrial sector, south atlantic",c/kwh
ESICU_US,"retail price of electricity in industrial sector, u.s. average",c/kwh
ESICU_WNC,"retail price of electricity in industrial sector, west north central",c/kwh
ESICU_WSC,"retail price of electricity in industrial sector, west south central",c/kwh
ESRCUUS,"retail price of electricity in residential sector, u.s. average",c/kwh
ESRCUUS_RP,"real retail price of electricity in residential sector, u.s. average",c/kwh
ESRCU_ENC,"retail price of electricity in residential sector, east north central",c/kwh
ESRCU_ESC,"retail price of electricity in residential sector, east south central",c/kwh
ESRCU_HAK,"retail price of electricity in residential sector, alaska and hawaii",c/kwh
ESRCU_MAC,"retail price of electricity in residential sector, middle atlantic",c/kwh
ESRCU_MTN,"retail price of electricity in residential sector, mountain",c/kwh
ESRCU_NEC,"retail price of electricity in residential sector, new england",c/kwh
ESRCU_PAC,"retail price of electricity in residential sector, pacific contiguous",c/kwh
ESRCU_SAC,"retail price of electricity in residential sector, south atlantic",c/kwh
ESRCU_US,"retail price of electricity in residential sector, u.s. average",c/kwh
ESRCU_WNC,"retail price of electricity in residential sector, west north central",c/kwh
ESRCU_WSC,"retail price of electricity in residential sector, west south central",c/kwh
ESTCU_ENC,"retail price of electricity for all sectors, east north central",c/kwh
ESTCU_ESC,"retail price of electricity for all sectors, east south central",c/kwh
ESTCU_HAK,"retail price of electricity for all sectors, alaska and hawaii",c/kwh
ESTCU_MAC,"retail price of electricity for all sectors, middle atlantic",c/kwh
ESTCU_MTN,"retail price of electricity for all sectors, mountain",c/kwh
ESTCU_NEC,"retail price of electricity for all sectors, new england",c/kwh
ESTCU_PAC,"retail price of electricity for all sectors, pacific contiguous",c/kwh
ESTCU_SAC,"retail price of electricity for all sectors, south atlantic",c/kwh
ESTCU_US,"retail price of electricity for all sectors, u.s. total",c/kwh
ESTCU_WNC,"retail price of electricity for all sectors, west north central",c/kwh
ESTCU_WSC,"retail price of electricity for all sectors, west south central",c/kwh
ESTXPUS,total consumption of electricity in united states,bkwhd
ETFPPUS,ethane production at natural gas processing plants,mbd
ETNIPUS,ethane net imports,mbd
ETPSPUS,ethane/ethylene u.s. inventory,mb eop
ETROPUS,ethane/ethylene refinery and blender net production,mbd
ETTCPUS,ethane/ethylene product supplied,mbd
ETXXSUP,total supply of electricity in united states,bkwhd
EXACPUS,"retail sales of electricity in transportation sector, u.s. total",bkwhd
